"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2021","61,838","62,367","62,650","61,390","15.22K","-1.08%"
"28-12-2021","62,514","62,436","63,239","62,344","13.19K","0.34%"
"27-12-2021","62,301","62,187","62,646","61,702","12.72K","0.00%"
"24-12-2021","62,298","62,320","62,440","62,214","1.90K","-0.02%"
"23-12-2021","62,311","62,273","62,489","61,831","9.45K","0.20%"
"22-12-2021","62,188","61,941","62,311","61,617","8.99K","0.62%"
"21-12-2021","61,805","61,288","62,356","61,260","11.92K","0.63%"
"20-12-2021","61,417","61,901","61,914","61,182","9.00K","-1.16%"
"17-12-2021","62,137","62,148","62,447","61,920","9.56K","-0.02%"
"16-12-2021","62,151","60,352","62,274","60,352","18.93K","3.23%"
"15-12-2021","60,208","60,733","60,984","60,050","13.95K","-1.00%"
"14-12-2021","60,818","61,413","61,604","60,266","16.18K","-1.24%"
"13-12-2021","61,582","61,300","61,745","61,170","8.75K","0.70%"
"10-12-2021","61,151","60,796","61,275","60,322","11.07K","0.58%"
"09-12-2021","60,798","61,640","61,730","60,401","13.79K","-1.34%"
"08-12-2021","61,623","61,754","61,965","61,382","8.38K","-0.33%"
"07-12-2021","61,828","61,236","62,040","61,167","12.61K","0.91%"
"06-12-2021","61,270","61,606","61,719","60,837","9.81K","1.00%"
"03-12-2021","60,666","60,727","60,835","60,437","0.00K","0.02%"
"02-12-2021","60,653","60,556","60,797","60,556","0.02K","-1.31%"
"01-12-2021","61,460","61,725","61,798","60,772","0.04K","-0.30%"
"30-11-2021","61,646","61,632","62,423","61,440","0.22K","0.01%"
"29-11-2021","61,640","63,011","63,231","61,420","1.96K","-0.65%"
"26-11-2021","62,045","63,101","63,476","61,734","10.84K","-1.75%"
"25-11-2021","63,150","62,911","63,329","62,803","7.34K","0.82%"
"24-11-2021","62,635","62,877","63,029","62,374","9.76K","0.20%"
"23-11-2021","62,509","64,637","64,699","62,226","16.31K","-3.19%"
"22-11-2021","64,571","65,458","66,056","64,428","14.95K","-1.50%"
"19-11-2021","65,556","65,850","66,248","65,300","10.52K","-0.63%"
"18-11-2021","65,970","66,401","66,568","65,571","13.66K","-0.98%"
"17-11-2021","66,625","66,329","66,857","66,255","8.60K","0.59%"
"16-11-2021","66,234","66,800","67,446","66,128","16.41K","-0.49%"
"15-11-2021","66,563","66,669","67,170","66,302","12.97K","-0.87%"
"12-11-2021","67,144","66,800","67,399","66,270","15.11K","0.27%"
"11-11-2021","66,965","65,854","67,038","65,852","14.14K","1.65%"
"10-11-2021","65,878","64,700","66,780","64,250","27.16K","2.03%"
"09-11-2021","64,570","64,877","65,086","64,147","11.90K","-0.48%"
"08-11-2021","64,881","64,602","65,038","64,297","10.32K","0.85%"
"05-11-2021","64,332","63,602","64,480","63,275","8.80K","0.33%"
"04-11-2021","64,120","62,750","64,234","62,750","5.47K","2.65%"
"03-11-2021","62,465","63,153","63,447","62,002","11.77K","-1.20%"
"02-11-2021","63,223","64,600","64,779","63,072","16.16K","-2.42%"
"01-11-2021","64,791","64,449","64,980","64,220","8.31K","0.40%"
"29-10-2021","64,534","64,695","64,872","64,035","15.70K","-0.61%"
"28-10-2021","64,931","64,953","65,347","64,680","10.99K","-0.36%"
"27-10-2021","65,165","65,035","65,538","64,528","10.18K","0.27%"
"26-10-2021","64,989","66,235","66,235","64,612","15.44K","-1.74%"
"25-10-2021","66,139","65,770","66,430","65,770","9.65K","0.74%"
"22-10-2021","65,656","65,330","66,752","65,110","24.44K","0.99%"
"21-10-2021","65,013","65,781","65,925","64,923","16.13K","-0.91%"
"20-10-2021","65,607","64,420","65,761","64,386","17.75K","1.80%"
"19-10-2021","64,450","63,618","65,250","63,552","19.39K","1.87%"
"18-10-2021","63,266","63,235","63,636","62,804","12.32K","-0.01%"
"15-10-2021","63,271","63,250","63,465","62,680","9.25K","-0.45%"
"14-10-2021","63,555","62,577","63,825","62,487","14.60K","1.06%"
"13-10-2021","62,887","61,760","63,200","61,757","19.07K","2.11%"
"12-10-2021","61,586","61,738","62,137","61,211","14.03K","-0.26%"
"11-10-2021","61,744","61,500","62,215","61,395","10.29K","-0.09%"
"08-10-2021","61,801","60,991","62,708","60,910","19.26K","0.89%"
"07-10-2021","61,258","61,054","61,596","60,677","14.76K","0.42%"
"06-10-2021","61,003","60,726","61,087","60,330","13.64K","0.03%"
"05-10-2021","60,986","60,748","61,075","60,481","9.56K","0.05%"
"04-10-2021","60,953","60,517","61,170","60,070","11.66K","0.67%"
"01-10-2021","60,550","59,600","60,693","59,320","12.12K","1.56%"
"30-09-2021","59,617","58,500","59,811","58,150","17.76K","2.11%"
"29-09-2021","58,386","60,555","60,629","58,181","23.30K","-3.44%"
"28-09-2021","60,464","60,572","60,585","59,503","15.59K","-0.28%"
"27-09-2021","60,634","60,626","61,126","60,156","10.05K","1.13%"
"24-09-2021","59,955","60,743","60,860","59,310","14.46K","-1.37%"
"23-09-2021","60,789","60,616","61,020","60,320","11.29K","-0.64%"
"22-09-2021","61,180","60,890","61,400","60,611","10.85K","1.23%"
"21-09-2021","60,439","59,640","60,819","59,460","12.44K","1.39%"
"20-09-2021","59,609","59,531","60,200","59,222","14.11K","-0.64%"
"17-09-2021","59,992","61,168","61,672","59,888","15.34K","-1.78%"
"16-09-2021","61,077","63,475","63,534","60,500","22.54K","-3.50%"
"15-09-2021","63,293","63,398","63,586","63,021","8.04K","-0.46%"
"14-09-2021","63,585","63,203","63,667","62,603","11.49K","0.45%"
"13-09-2021","63,299","63,474","63,580","62,503","11.75K","-0.46%"
"10-09-2021","63,592","63,992","64,206","63,479","6.63K","-0.88%"
"09-09-2021","64,158","64,001","64,598","63,650","10.24K","-0.04%"
"08-09-2021","64,183","64,621","64,914","63,913","9.87K","-0.68%"
"07-09-2021","64,621","65,220","65,235","64,224","13.69K","-1.03%"
"06-09-2021","65,292","65,377","65,513","65,064","4.33K","3.27%"
"03-09-2021","63,226","63,250","63,250","63,202","0.00K","-0.19%"
"02-09-2021","63,348","63,552","63,725","62,525","0.01K","-0.35%"
"01-09-2021","63,573","62,999","63,775","62,730","0.05K","1.04%"
"31-08-2021","62,916","63,558","63,647","62,600","0.10K","-0.17%"
"30-08-2021","63,025","63,551","63,900","62,925","1.71K","-0.88%"
"27-08-2021","63,585","62,830","63,751","62,422","14.42K","1.37%"
"26-08-2021","62,723","63,021","63,289","62,397","10.37K","-0.87%"
"25-08-2021","63,272","63,001","63,451","62,750","10.48K","-0.32%"
"24-08-2021","63,474","62,792","63,690","62,736","13.38K","0.87%"
"23-08-2021","62,927","62,144","63,096","61,878","13.08K","1.95%"
"20-08-2021","61,721","62,185","62,320","61,227","11.59K","-0.66%"
"19-08-2021","62,133","62,424","62,835","62,081","6.66K","-0.56%"
"18-08-2021","62,483","63,475","63,550","62,200","9.66K","-1.18%"
"17-08-2021","63,226","63,483","63,866","63,006","9.38K","-0.36%"
"16-08-2021","63,457","63,141","63,537","62,461","9.67K","0.35%"
"13-08-2021","63,238","62,097","63,550","61,980","13.15K","2.23%"
"12-08-2021","61,860","62,528","62,684","61,536","12.63K","-1.45%"
"11-08-2021","62,771","62,697","62,862","62,313","11.74K","0.22%"
"10-08-2021","62,636","63,093","63,239","62,184","12.19K","0.00%"
"09-08-2021","62,637","64,710","64,710","62,318","19.51K","-3.64%"
"06-08-2021","65,000","66,819","66,982","64,639","19.15K","-2.98%"
"05-08-2021","66,998","67,488","67,725","66,702","9.14K","-0.89%"
"04-08-2021","67,601","68,000","68,872","67,343","17.82K","-0.46%"
"03-08-2021","67,914","67,587","68,060","67,283","9.14K","0.04%"
"02-08-2021","67,889","67,812","68,177","67,512","8.92K","0.06%"
"30-07-2021","67,847","68,100","68,200","67,615","8.82K","-0.52%"
"29-07-2021","68,200","66,699","68,490","66,699","16.36K","2.73%"
"28-07-2021","66,390","66,349","66,681","66,060","12.38K","0.51%"
"27-07-2021","66,056","67,357","67,357","65,656","17.67K","-1.59%"
"26-07-2021","67,121","67,156","67,583","66,972","10.55K","0.14%"
"23-07-2021","67,024","67,487","67,560","66,667","11.54K","-0.52%"
"22-07-2021","67,374","67,037","67,508","66,610","12.16K","0.35%"
"21-07-2021","67,137","66,798","67,190","66,541","6.60K","0.80%"
"20-07-2021","66,606","67,409","67,499","66,286","12.70K","-0.95%"
"19-07-2021","67,246","68,121","68,121","67,021","16.13K","-1.57%"
"16-07-2021","68,319","69,906","69,931","68,082","18.81K","-1.95%"
"15-07-2021","69,681","69,500","69,889","69,401","9.09K","0.39%"
"14-07-2021","69,412","69,096","70,017","69,012","15.50K","0.48%"
"13-07-2021","69,081","69,609","69,644","68,901","12.06K","-0.42%"
"12-07-2021","69,375","69,000","69,561","68,650","11.86K","0.11%"
"09-07-2021","69,297","68,789","69,445","68,425","12.23K","0.49%"
"08-07-2021","68,962","69,200","69,696","68,646","14.13K","-0.58%"
"07-07-2021","69,365","69,620","70,165","69,120","11.29K","-0.21%"
"06-07-2021","69,512","70,309","70,960","69,267","17.02K","0.37%"
"05-07-2021","69,254","69,500","69,675","69,113","0.04K","0.20%"
"02-07-2021","69,118","68,449","69,328","68,429","0.07K","1.41%"
"01-07-2021","68,155","68,633","68,912","68,107","0.03K","0.03%"
"30-06-2021","68,135","67,277","68,180","67,277","0.23K","1.34%"
"29-06-2021","67,232","67,869","68,145","66,678","3.52K","-1.33%"
"28-06-2021","68,141","68,014","68,344","67,735","10.89K","0.39%"
"25-06-2021","67,873","68,109","68,499","67,756","9.72K","0.21%"
"24-06-2021","67,733","67,707","68,200","67,369","8.83K","-0.29%"
"23-06-2021","67,932","67,917","68,526","67,501","11.59K","0.62%"
"22-06-2021","67,515","67,755","68,051","67,158","9.82K","-0.36%"
"21-06-2021","67,762","67,647","67,954","66,628","10.44K","0.24%"
"18-06-2021","67,598","68,417","68,740","67,505","14.41K","0.00%"
"17-06-2021","67,599","71,000","71,000","67,512","31.50K","-5.41%"
"16-06-2021","71,468","71,500","71,761","71,283","8.36K","0.31%"
"15-06-2021","71,248","71,791","71,791","70,822","13.58K","-0.88%"
"14-06-2021","71,879","72,000","72,094","70,933","19.19K","-0.48%"
"11-06-2021","72,227","72,249","72,798","72,066","13.75K","0.32%"
"10-06-2021","71,999","71,500","72,170","70,900","20.15K","0.16%"
"09-06-2021","71,884","71,356","72,150","71,056","14.51K","0.92%"
"08-06-2021","71,231","71,606","71,799","70,980","14.39K","-0.82%"
"07-06-2021","71,817","71,320","71,864","70,836","12.35K","0.39%"
"04-06-2021","71,539","70,710","71,766","70,329","15.63K","1.03%"
"03-06-2021","70,810","72,835","72,849","69,800","28.52K","-2.57%"
"02-06-2021","72,678","72,000","72,760","71,698","14.75K","0.60%"
"01-06-2021","72,248","72,500","73,582","72,102","23.94K","0.49%"
"31-05-2021","71,898","72,000","72,144","71,729","10.43K","0.40%"
"28-05-2021","71,611","71,460","71,780","70,576","19.48K","-0.15%"
"27-05-2021","71,719","71,337","71,799","70,915","17.99K","0.43%"
"26-05-2021","71,411","72,500","72,779","71,240","19.97K","-1.01%"
"25-05-2021","72,140","71,510","72,288","71,005","23.23K","0.46%"
"24-05-2021","71,811","71,517","72,113","71,200","13.73K","1.07%"
"21-05-2021","71,049","71,750","72,490","70,510","24.64K","-1.74%"
"20-05-2021","72,304","72,199","72,540","71,532","17.54K","-0.10%"
"19-05-2021","72,374","72,630","73,245","71,141","34.72K","-1.12%"
"18-05-2021","73,196","73,755","74,222","72,729","20.82K","-0.17%"
"17-05-2021","73,324","71,900","73,410","71,526","22.08K","3.15%"
"14-05-2021","71,085","70,355","71,460","70,085","16.04K","0.87%"
"13-05-2021","70,473","70,840","70,840","70,100","11.11K","-0.91%"
"12-05-2021","71,121","71,805","72,224","70,956","21.66K","-1.12%"
"11-05-2021","71,929","71,319","71,978","70,866","16.26K","0.54%"
"10-05-2021","71,544","71,507","72,699","71,440","18.06K","0.16%"
"07-05-2021","71,429","71,650","72,231","70,932","21.39K","-0.35%"
"06-05-2021","71,681","69,692","71,944","69,651","22.49K","4.61%"
"05-05-2021","68,520","69,069","69,069","67,893","0.04K","-1.33%"
"04-05-2021","69,441","69,898","70,162","68,519","0.03K","-0.62%"
"03-05-2021","69,871","67,925","69,991","67,768","0.10K","3.48%"
"30-04-2021","67,524","67,395","68,210","67,348","0.39K","0.07%"
"29-04-2021","67,474","68,562","68,729","66,971","3.96K","-0.46%"
"28-04-2021","67,786","68,680","68,680","67,550","14.04K","-1.70%"
"27-04-2021","68,958","68,618","69,197","68,421","11.53K","0.40%"
"26-04-2021","68,680","69,086","69,437","68,055","11.45K","0.01%"
"23-04-2021","68,674","69,300","69,691","68,333","15.24K","-0.79%"
"22-04-2021","69,218","70,399","70,399","69,155","14.64K","-1.59%"
"21-04-2021","70,338","69,237","70,425","69,105","11.61K","2.32%"
"20-04-2021","68,745","68,476","69,372","68,140","17.43K","0.62%"
"19-04-2021","68,324","68,456","69,381","67,955","16.57K","-0.52%"
"16-04-2021","68,684","68,400","69,271","67,990","13.03K","0.21%"
"15-04-2021","68,540","67,708","68,785","67,705","14.26K","1.33%"
"14-04-2021","67,638","67,516","67,846","67,176","6.26K","-0.03%"
"13-04-2021","67,656","66,247","67,882","66,071","13.18K","2.31%"
"12-04-2021","66,128","66,786","67,293","65,961","12.92K","-1.28%"
"09-04-2021","66,983","67,181","67,456","66,371","13.20K","-0.77%"
"08-04-2021","67,501","66,400","67,735","66,360","14.00K","1.30%"
"07-04-2021","66,634","65,690","66,784","65,679","13.19K","1.12%"
"06-04-2021","65,897","65,150","66,169","64,927","15.98K","2.07%"
"05-04-2021","64,562","64,800","65,530","64,473","13.85K","-0.81%"
"01-04-2021","65,089","63,614","65,155","63,512","14.51K","2.00%"
"31-03-2021","63,814","62,800","63,950","62,500","16.83K","1.09%"
"30-03-2021","63,124","63,976","64,185","63,040","15.99K","-1.64%"
"29-03-2021","64,174","64,311","64,620","63,700","7.62K","-0.97%"
"26-03-2021","64,805","64,975","65,244","64,516","10.59K","-0.10%"
"25-03-2021","64,869","65,159","65,198","63,411","21.05K","-0.58%"
"24-03-2021","65,245","65,139","65,631","65,058","11.42K","0.42%"
"23-03-2021","64,972","66,026","66,324","64,810","16.36K","-2.05%"
"22-03-2021","66,331","67,000","67,000","65,710","17.47K","-1.77%"
"19-03-2021","67,527","67,137","67,743","67,028","12.48K","-0.32%"
"18-03-2021","67,747","67,260","68,470","66,887","19.85K","0.77%"
"17-03-2021","67,227","66,930","67,401","66,802","9.27K","0.46%"
"16-03-2021","66,919","67,572","67,814","66,801","11.78K","-1.11%"
"15-03-2021","67,669","67,226","67,860","66,850","10.49K","1.23%"
"12-03-2021","66,844","67,200","67,259","65,933","15.11K","-1.04%"
"11-03-2021","67,545","67,600","68,099","67,002","8.04K","0.10%"
"10-03-2021","67,475","66,951","67,600","66,522","13.62K","-0.01%"
"09-03-2021","67,480","66,177","67,600","65,901","13.63K","2.47%"
"08-03-2021","65,852","66,455","66,633","65,247","13.68K","2.10%"
"05-03-2021","64,500","64,484","65,227","64,194","0.23K","-1.49%"
"04-03-2021","65,476","66,437","66,649","64,790","0.44K","-0.96%"
"03-03-2021","66,113","68,035","68,214","65,913","0.33K","-1.82%"
"02-03-2021","67,339","66,463","67,900","65,863","0.47K","-0.12%"
"01-03-2021","67,422","68,575","68,575","67,198","2.68K","0.24%"
"26-02-2021","67,261","69,400","69,400","66,505","19.71K","-2.91%"
"25-02-2021","69,276","70,126","70,537","69,074","23.01K","-0.38%"
"24-02-2021","69,543","69,611","69,896","68,654","20.72K","0.29%"
"23-02-2021","69,341","70,675","70,699","68,764","23.93K","-1.55%"
"22-02-2021","70,432","69,337","70,500","68,981","19.35K","2.06%"
"19-02-2021","69,012","68,000","69,838","67,530","22.77K","0.76%"
"18-02-2021","68,494","69,400","69,639","68,200","17.98K","-1.06%"
"17-02-2021","69,231","69,507","69,626","68,412","19.66K","-0.20%"
"16-02-2021","69,372","70,510","70,864","68,350","31.38K","-1.08%"
"15-02-2021","70,129","69,300","70,244","69,300","12.73K","1.46%"
"12-02-2021","69,117","68,506","69,500","68,330","15.34K","0.91%"
"11-02-2021","68,492","68,400","69,270","68,189","16.35K","-0.63%"
"10-02-2021","68,926","69,940","69,999","68,404","18.86K","-1.10%"
"09-02-2021","69,696","70,297","70,757","69,000","18.75K","-0.55%"
"08-02-2021","70,084","68,700","70,354","68,420","19.69K","1.96%"
"05-02-2021","68,738","67,210","68,823","67,205","18.68K","2.87%"
"04-02-2021","66,818","67,783","68,184","66,320","24.27K","-2.55%"
"03-02-2021","68,565","68,048","69,147","67,723","21.19K","1.52%"
"02-02-2021","67,541","72,600","72,600","67,298","43.94K","-8.31%"
"01-02-2021","73,666","71,650","74,426","71,650","55.03K","5.68%"
"29-01-2021","69,706","68,641","71,290","68,353","45.50K","3.12%"
"28-01-2021","67,595","66,000","70,527","65,501","48.39K","1.59%"
"27-01-2021","66,536","66,231","66,636","65,051","24.29K","0.00%"
"25-01-2021","66,535","66,896","67,214","65,909","18.25K","-0.16%"
"22-01-2021","66,642","67,000","67,000","65,425","21.96K","-0.98%"
"21-01-2021","67,300","67,300","67,848","66,956","14.57K","0.46%"
"20-01-2021","66,990","66,371","67,220","65,576","23.76K","1.44%"
"19-01-2021","66,036","65,829","66,195","65,370","17.62K","0.93%"
"18-01-2021","65,429","65,055","65,703","64,785","12.89K","1.03%"
"15-01-2021","64,764","65,978","66,266","64,114","28.61K","-2.88%"
"14-01-2021","66,683","65,103","66,848","64,933","19.80K","1.00%"
"13-01-2021","66,021","66,500","66,500","65,168","16.30K","0.17%"
"12-01-2021","65,906","65,444","66,416","65,146","19.17K","0.54%"
"11-01-2021","65,555","63,603","65,726","63,603","28.64K","2.06%"
"08-01-2021","64,231","69,694","69,825","63,719","51.93K","-8.19%"
"07-01-2021","69,962","69,585","70,291","69,405","23.01K","0.79%"
"06-01-2021","69,417","70,323","71,550","68,580","40.76K","-2.03%"
"05-01-2021","70,858","70,302","70,963","70,060","23.66K","1.17%"
"04-01-2021","70,036","68,499","70,732","68,499","34.13K","2.81%"
"01-01-2021","68,123","68,254","68,275","67,860","1.64K","0.03%"
"31-12-2020","68,105","68,452","68,743","67,884","18.12K","-0.74%"
"30-12-2020","68,614","68,500","68,999","68,060","17.76K","0.76%"
"29-12-2020","68,097","68,555","68,770","67,700","26.39K","-1.05%"
"28-12-2020","68,817","69,000","69,800","68,379","26.25K","1.94%"
"24-12-2020","67,509","67,701","67,900","66,682","17.25K","-0.10%"
"23-12-2020","67,576","66,687","67,750","66,251","26.07K","1.05%"
"22-12-2020","66,871","69,797","69,797","66,517","34.24K","-3.11%"
"21-12-2020","69,018","68,958","71,650","65,604","55.04K","1.64%"
"18-12-2020","67,907","67,961","68,431","67,364","19.03K","-0.53%"
"17-12-2020","68,267","66,670","68,398","66,588","32.88K","3.57%"
"16-12-2020","65,911","65,000","66,800","65,000","30.70K","1.63%"
"15-12-2020","64,853","63,604","64,937","63,599","20.69K","2.18%"
"14-12-2020","63,471","63,482","64,093","62,720","22.70K","-0.41%"
"11-12-2020","63,735","63,459","63,935","62,700","19.69K","0.32%"
"10-12-2020","63,530","63,747","64,399","62,931","19.64K","0.05%"
"09-12-2020","63,499","64,521","64,804","63,171","26.60K","-2.60%"
"08-12-2020","65,192","65,388","65,817","64,576","20.21K","-0.47%"
"07-12-2020","65,499","63,643","65,650","62,380","26.87K","4.85%"
"04-12-2020","62,471","62,600","63,170","62,300","0.11K","-0.34%"
"03-12-2020","62,682","62,600","63,000","61,903","0.12K","0.85%"
"02-12-2020","62,153","61,628","63,040","61,425","0.47K","0.38%"
"01-12-2020","61,918","59,908","62,200","59,512","0.53K","4.73%"
"30-11-2020","59,122","58,100","59,424","57,800","1.96K","0.23%"
"27-11-2020","58,984","59,507","59,950","57,877","23.18K","-1.48%"
"26-11-2020","59,873","60,034","60,267","59,450","15.02K","0.05%"
"25-11-2020","59,843","59,617","60,472","59,135","21.73K","0.37%"
"24-11-2020","59,621","60,064","60,251","58,827","31.81K","-1.49%"
"23-11-2020","60,525","62,119","62,300","60,160","31.76K","-2.63%"
"20-11-2020","62,158","61,610","62,750","61,560","19.82K","1.05%"
"19-11-2020","61,510","62,091","62,182","60,710","28.77K","-1.65%"
"18-11-2020","62,543","62,897","63,280","62,023","24.94K","-1.11%"
"17-11-2020","63,248","63,690","63,715","62,846","19.27K","-0.70%"
"16-11-2020","63,691","64,010","64,089","62,160","17.49K","0.13%"
"14-11-2020","63,608","63,852","64,038","63,560","1.08K","-0.20%"
"13-11-2020","63,733","62,539","64,152","62,510","17.77K","1.58%"
"12-11-2020","62,739","62,767","63,095","62,145","18.97K","0.32%"
"11-11-2020","62,541","63,000","63,044","61,234","27.30K","-0.80%"
"10-11-2020","63,044","61,900","63,226","61,443","31.00K","3.60%"
"09-11-2020","60,854","65,900","66,478","60,560","55.74K","-6.86%"
"06-11-2020","65,335","64,479","66,244","64,024","38.04K","1.68%"
"05-11-2020","64,253","62,020","64,380","61,900","35.10K","4.67%"
"04-11-2020","61,389","61,420","62,335","60,800","38.26K","-2.07%"
"03-11-2020","62,685","61,987","62,791","61,612","24.84K","1.09%"
"02-11-2020","62,007","61,422","62,272","61,330","26.24K","1.88%"
"30-10-2020","60,865","60,557","61,326","59,918","26.67K","1.15%"
"29-10-2020","60,172","60,069","60,735","58,381","37.60K","0.06%"
"28-10-2020","60,138","62,060","62,500","59,100","38.87K","-3.44%"
"27-10-2020","62,281","62,341","62,580","61,510","20.83K","0.61%"
"26-10-2020","61,906","61,720","62,480","61,251","25.34K","-0.87%"
"23-10-2020","62,449","62,658","63,066","62,063","21.73K","-0.27%"
"22-10-2020","62,615","63,111","63,250","61,856","24.75K","-1.59%"
"21-10-2020","63,629","63,530","64,070","63,115","28.65K","0.80%"
"20-10-2020","63,124","62,050","63,259","61,662","23.92K","1.66%"
"19-10-2020","62,095","61,462","63,280","61,177","23.79K","0.68%"
"16-10-2020","61,676","61,649","62,170","61,324","18.71K","0.23%"
"15-10-2020","61,535","61,114","61,665","59,820","28.88K","-0.11%"
"14-10-2020","61,603","60,725","62,282","60,601","25.33K","1.75%"
"13-10-2020","60,542","62,401","62,978","60,200","31.79K","-4.05%"
"12-10-2020","63,098","63,839","64,122","62,429","24.61K","0.34%"
"09-10-2020","62,884","61,038","63,242","61,038","28.59K","3.91%"
"08-10-2020","60,519","60,350","61,490","60,041","25.46K","0.17%"
"07-10-2020","60,419","59,850","60,932","59,338","31.08K","-0.25%"
"06-10-2020","60,571","61,790","62,365","60,204","30.69K","-2.21%"
"05-10-2020","61,941","60,737","62,365","60,259","25.70K","1.30%"
"01-10-2020","61,145","60,001","61,530","59,620","29.75K","2.05%"
"30-09-2020","59,919","61,201","61,700","59,460","35.53K","-4.08%"
"29-09-2020","62,466","60,610","62,598","60,060","31.92K","3.43%"
"28-09-2020","60,396","58,513","60,495","57,652","33.85K","2.32%"
"25-09-2020","59,027","59,320","59,720","57,550","29.82K","-1.01%"
"24-09-2020","59,629","57,900","59,847","56,020","42.51K","1.95%"
"23-09-2020","58,488","60,311","60,487","58,037","41.83K","-4.45%"
"22-09-2020","61,213","61,869","61,990","59,570","39.00K","-0.17%"
"21-09-2020","61,316","67,888","67,888","60,664","45.85K","-9.67%"
"18-09-2020","67,877","68,499","68,500","67,480","19.09K","-0.39%"
"17-09-2020","68,142","67,900","68,280","66,650","27.84K","-0.93%"
"16-09-2020","68,781","68,914","69,249","68,600","17.88K","-0.27%"
"15-09-2020","68,967","69,500","69,887","68,199","21.12K","0.00%"
"14-09-2020","68,965","68,485","69,200","67,906","19.44K","1.53%"
"11-09-2020","67,928","68,500","68,579","67,613","20.94K","-1.54%"
"10-09-2020","68,991","68,660","69,768","68,471","26.49K","0.80%"
"09-09-2020","68,443","68,056","68,532","67,288","21.08K","-0.07%"
"08-09-2020","68,494","67,799","68,713","66,155","32.91K","0.33%"
"07-09-2020","68,271","68,232","68,450","67,636","13.45K","5.58%"
"04-09-2020","64,663","64,749","65,200","64,380","0.10K","-0.08%"
"03-09-2020","64,717","65,838","66,346","64,438","0.13K","-1.62%"
"02-09-2020","65,784","67,600","67,688","65,650","0.25K","-3.75%"
"01-09-2020","68,349","68,550","69,351","68,020","0.40K","1.53%"
"31-08-2020","67,318","67,485","68,614","66,178","4.01K","2.03%"
"28-08-2020","65,976","65,509","66,660","65,268","20.43K","1.21%"
"27-08-2020","65,190","66,709","67,826","64,613","30.28K","-3.46%"
"26-08-2020","67,529","64,398","67,815","63,153","34.30K","5.50%"
"25-08-2020","64,007","65,983","66,159","63,766","25.89K","-2.38%"
"24-08-2020","65,569","66,589","67,345","65,300","30.41K","-2.23%"
"21-08-2020","67,067","68,397","68,900","65,201","31.97K","-0.78%"
"20-08-2020","67,595","67,570","68,033","66,401","29.85K","-0.54%"
"19-08-2020","67,963","68,783","69,236","67,005","34.15K","-2.22%"
"18-08-2020","69,505","69,445","71,350","65,006","45.37K","0.51%"
"17-08-2020","69,155","67,106","70,246","67,030","38.20K","2.95%"
"14-08-2020","67,171","70,650","70,939","66,202","44.82K","-5.50%"
"13-08-2020","71,077","67,280","71,430","66,250","45.87K","6.48%"
"12-08-2020","66,753","64,257","68,480","60,910","77.53K","-0.27%"
"11-08-2020","66,934","75,000","75,010","66,347","81.82K","-11.22%"
"10-08-2020","75,394","75,314","76,219","74,302","45.48K","1.66%"
"07-08-2020","74,160","77,949","77,949","73,518","77.93K","-2.49%"
"06-08-2020","76,052","72,560","76,360","72,510","72.10K","5.78%"
"05-08-2020","71,893","69,746","72,980","69,569","74.62K","3.00%"
"04-08-2020","69,797","65,896","69,999","65,182","52.63K","6.16%"
"03-08-2020","65,748","65,656","66,000","65,120","33.54K","1.18%"
"31-07-2020","64,984","63,344","65,679","63,344","55.28K","3.69%"
"30-07-2020","62,670","65,370","65,370","61,800","74.86K","-4.11%"
"29-07-2020","65,354","65,249","65,749","64,350","41.54K","0.54%"
"28-07-2020","65,004","66,047","67,560","61,597","105.39K","-0.80%"
"27-07-2020","65,528","63,671","66,164","63,671","61.31K","7.03%"
"24-07-2020","61,223","61,137","61,828","60,510","45.74K","0.05%"
"23-07-2020","61,190","60,790","62,400","60,450","64.39K","0.12%"
"22-07-2020","61,115","58,000","62,200","58,000","111.71K","6.58%"
"21-07-2020","57,342","54,802","57,457","54,802","66.90K","6.18%"
"20-07-2020","54,005","52,819","54,130","52,735","41.70K","2.09%"
"17-07-2020","52,899","52,444","52,989","52,178","29.99K","0.55%"
"16-07-2020","52,610","53,007","53,199","52,450","32.97K","-0.84%"
"15-07-2020","53,058","52,840","53,137","52,435","35.48K","0.78%"
"14-07-2020","52,649","52,487","52,786","51,950","40.60K","-0.75%"
"13-07-2020","53,048","51,780","53,184","51,780","45.61K","3.28%"
"10-07-2020","51,362","51,163","51,648","50,952","33.99K","0.53%"
"09-07-2020","51,091","51,443","52,144","50,727","52.64K","-0.57%"
"08-07-2020","51,382","50,177","51,550","50,005","42.24K","2.35%"
"07-07-2020","50,202","49,790","50,260","49,178","37.77K","0.83%"
"06-07-2020","49,790","49,087","50,490","48,865","32.73K","2.88%"
"03-07-2020","48,395","48,494","48,494","48,305","0.03K","0.61%"
"02-07-2020","48,103","48,690","48,765","47,900","0.16K","-1.37%"
"01-07-2020","48,770","49,835","50,204","48,500","0.25K","-1.77%"
"30-06-2020","49,651","48,295","49,808","48,240","0.45K","3.18%"
"29-06-2020","48,123","48,620","48,633","47,798","3.17K","-0.50%"
"26-06-2020","48,365","48,154","48,639","47,418","31.62K","0.52%"
"25-06-2020","48,116","48,050","48,190","47,306","29.07K","0.69%"
"24-06-2020","47,786","48,713","48,932","46,833","47.28K","-2.05%"
"23-06-2020","48,784","48,440","48,835","48,080","29.85K","0.59%"
