Model,MAE,RMSE,MAPE,Dir_Accuracy
Ridge,3257.811639760062,4138.03273207382,4.979099325771004,65.56473829201101
LightGBM,2765.1432554777225,3495.4852894172523,4.220374500064632,70.24793388429752
k-NN,2840.8410858741495,3686.8221906585936,4.395261055117164,64.73829201101928
SVR,2412.5112748442657,2990.6224247565274,3.714271942244197,69.9724517906336
Ensemble,2417.5290340479464,3100.677891583254,3.692778521747534,76.03305785123968
